OBS_TIME_LOC,HT,LONG,LAT,time
2005-11-30 18:00:00,1.7683333333333329,153.4772,-28.50470000000001,2005-11-30 18:00:00
2005-11-30 19:00:00,1.765,153.4772,-28.50470000000001,2005-11-30 19:00:00
2005-11-30 20:00:00,1.7350000000000003,153.4772,-28.5047,2005-11-30 20:00:00
2005-11-30 21:00:00,1.707142857142857,153.4772,-28.5047,2005-11-30 21:00:00
2005-11-30 22:00:00,1.6833333333333331,153.4772,-28.5047,2005-11-30 22:00:00
2005-11-30 23:00:00,1.6833333333333331,153.4772,-28.5047,2005-11-30 23:00:00
2005-12-01 00:00:00,1.6833333333333331,153.4772,-28.5047,2005-12-01 00:00:00
2005-12-01 01:00:00,1.6833333333333331,153.4772,-28.5047,2005-12-01 01:00:00
2005-12-01 02:00:00,1.6833333333333331,153.4772,-28.504700000000003,2005-12-01 02:00:00
2005-12-01 03:00:00,1.6833333333333331,153.4772,-28.50470000000001,2005-12-01 03:00:00
2005-12-01 04:00:00,1.61,153.4772,-28.5047,2005-12-01 04:00:00
2005-12-01 05:00:00,1.5700000000000005,153.4772,-28.5047,2005-12-01 05:00:00
2005-12-01 06:00:00,1.5450000000000002,153.4772,-28.5047,2005-12-01 06:00:00
2005-12-01 07:00:00,1.525,153.4772,-28.5047,2005-12-01 07:00:00
2005-12-01 08:00:00,1.51,153.4772,-28.50470000000001,2005-12-01 08:00:00
2005-12-01 09:00:00,1.51,153.4772,-28.50470000000001,2005-12-01 09:00:00
2005-12-01 10:00:00,1.51,153.4772,-28.50470000000001,2005-12-01 10:00:00
2005-12-01 11:00:00,1.5527272727272732,153.4772,-28.50470000000001,2005-12-01 11:00:00
2005-12-01 12:00:00,1.5985714285714283,153.4772,-28.50470000000001,2005-12-01 12:00:00
2005-12-01 13:00:00,1.6469999999999998,153.4772,-28.50470000000001,2005-12-01 13:00:00
2005-12-01 14:00:00,1.7033333333333331,153.4772,-28.5047,2005-12-01 14:00:00
