,Unnamed: 0,Unnamed: 0.1,Date,HT,LONG,LAT,locName
90,90,90,2005-11-26 14:00:00,1.72,153.4772,-28.5047,The Pocket (Marshalls Creek)
91,91,91,2005-11-26 14:00:00,1.72,153.4772,-28.5047,The Pocket (Marshalls Creek)
92,92,92,2005-11-26 14:00:00,1.73,153.4772,-28.5047,The Pocket (Marshalls Creek)
93,93,93,2005-11-26 14:00:00,1.73,153.4772,-28.5047,The Pocket (Marshalls Creek)
94,94,94,2005-11-26 14:00:00,1.73,153.4772,-28.5047,The Pocket (Marshalls Creek)
95,95,95,2005-11-26 14:00:00,1.73,153.4772,-28.5047,The Pocket (Marshalls Creek)
96,96,96,2005-11-26 14:00:00,1.73,153.4772,-28.5047,The Pocket (Marshalls Creek)
97,97,97,2005-11-26 14:00:00,1.73,153.4772,-28.5047,The Pocket (Marshalls Creek)
98,98,98,2005-11-26 14:00:00,1.73,153.4772,-28.5047,The Pocket (Marshalls Creek)
99,99,99,2005-11-26 14:00:00,1.74,153.4772,-28.5047,The Pocket (Marshalls Creek)
100,100,100,2005-11-26 15:00:00,1.74,153.4772,-28.5047,The Pocket (Marshalls Creek)
101,101,101,2005-11-26 15:00:00,1.74,153.4772,-28.5047,The Pocket (Marshalls Creek)
102,102,102,2005-11-26 15:00:00,1.74,153.4772,-28.5047,The Pocket (Marshalls Creek)
103,103,103,2005-11-26 15:00:00,1.74,153.4772,-28.5047,The Pocket (Marshalls Creek)
104,104,104,2005-11-26 15:00:00,1.74,153.4772,-28.5047,The Pocket (Marshalls Creek)
105,105,105,2005-11-26 15:00:00,1.75,153.4772,-28.5047,The Pocket (Marshalls Creek)
106,106,106,2005-11-26 15:00:00,1.75,153.4772,-28.5047,The Pocket (Marshalls Creek)
107,107,107,2005-11-26 15:00:00,1.75,153.4772,-28.5047,The Pocket (Marshalls Creek)
108,108,108,2005-11-26 15:00:00,1.75,153.4772,-28.5047,The Pocket (Marshalls Creek)
109,109,109,2005-11-26 15:00:00,1.75,153.4772,-28.5047,The Pocket (Marshalls Creek)
110,110,110,2005-11-26 15:00:00,1.75,153.4772,-28.5047,The Pocket (Marshalls Creek)
111,111,111,2005-11-26 16:00:00,1.76,153.4772,-28.5047,The Pocket (Marshalls Creek)
112,112,112,2005-11-26 16:00:00,1.76,153.4772,-28.5047,The Pocket (Marshalls Creek)
113,113,113,2005-11-26 16:00:00,1.76,153.4772,-28.5047,The Pocket (Marshalls Creek)
114,114,114,2005-11-26 16:00:00,1.76,153.4772,-28.5047,The Pocket (Marshalls Creek)
115,115,115,2005-11-26 16:00:00,1.77,153.4772,-28.5047,The Pocket (Marshalls Creek)
116,116,116,2005-11-26 16:00:00,1.77,153.4772,-28.5047,The Pocket (Marshalls Creek)
117,117,117,2005-11-26 16:00:00,1.77,153.4772,-28.5047,The Pocket (Marshalls Creek)
118,118,118,2005-11-26 16:00:00,1.77,153.4772,-28.5047,The Pocket (Marshalls Creek)
119,119,119,2005-11-26 16:00:00,1.77,153.4772,-28.5047,The Pocket (Marshalls Creek)
120,120,120,2005-11-26 16:00:00,1.77,153.4772,-28.5047,The Pocket (Marshalls Creek)
121,121,121,2005-11-26 16:00:00,1.77,153.4772,-28.5047,The Pocket (Marshalls Creek)
122,122,122,2005-11-26 16:00:00,1.77,153.4772,-28.5047,The Pocket (Marshalls Creek)
123,123,123,2005-11-26 16:00:00,1.77,153.4772,-28.5047,The Pocket (Marshalls Creek)
124,124,124,2005-11-26 16:00:00,1.77,153.4772,-28.5047,The Pocket (Marshalls Creek)
125,125,125,2005-11-26 16:00:00,1.77,153.4772,-28.5047,The Pocket (Marshalls Creek)
